epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3097,2.08665,4.00648,1.46416,0.00373,0.79167,0.0081,0.00342,1.82029,3.91144,1.24246,0.00022,0.00022,0.00022
2,53.4175,1.86669,2.65986,1.33277,0.00392,0.83333,0.0101,0.00449,1.47414,3.71042,1.1304,0.0003082,0.0003082,0.0003082
3,67.3265,1.62113,2.10743,1.23091,0.00431,0.91667,0.01184,0.00567,1.50944,3.61736,1.11178,0.000238,0.000238,0.000238
